ident,type,name,latitude_deg,longitude_deg,iso_country,municipality,longest_runway_ft,Amiri,A319_Amiri
5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,US,Aleknagik,2040.0,0,0
AGGH,large_airport,Honiara International Airport,-9.428,160.054993,SB,Honiara,7218.0,0,0
AGGM,medium_airport,Munda Airport,-8.32797,157.263,SB,Munda,4593.0,0,0
ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,NR,Yaren District,7054.0,0,0
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858,CN,Bayanhot,7874.0,0,0
AYBA,medium_airport,Baimuru Airport,-7.49686002731,144.819900513,PG,Baimuru,2953.0,0,0
AYBK,medium_airport,Buka Airport,-5.422319889068604,154.67300415039062,PG,Buka Island,5125.0,0,0
AYCH,medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,PG,Kundiawa,3330.0,0,0
AYDU,medium_airport,Daru Airport,-9.08676,143.207993,PG,Daru,4593.0,0,0
AYGA,medium_airport,Goroka Airport,-6.081689834590001,145.391998291,PG,Goronka,5400.0,0,0
AYGN,medium_airport,Gurney Airport,-10.3114995956,150.333999634,PG,Gurney,5546.0,0,0
AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,PG,Popondetta,5485.0,0,0
AYHK,medium_airport,Hoskins Airport,-5.463846,150.407327,PG,Kimbe,6644.0,0,0
AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,PG,Kerema,3044.0,0,0
AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,PG,Kavieng,5592.0,0,0
AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,PG,Madang,5174.0,0,0
AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.828212,144.299412,PG,Mount Hagen,7185.0,0,0
AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,PG,Mendi,4411.0,0,0
AYMO,medium_airport,Momote Airport,-2.06189,147.423996,PG,Manus Island,6136.0,0,0
